,myear,fuel,km,owner,transmission,brand,model,variant,price,city
1525,2016,Petrol,"53,908 Kms",1st Owner,KA53,2016 Maruti Alto 800,2016 Maruti Alto 800,LXI,"3,28,000",Bangalore
1526,2019,Petrol,"21,238 Kms",1st Owner,Manual,2019 Hyundai Grand i10,2019 Hyundai Grand i10,Magna,"5,78,000",Bangalore
1527,2016,Petrol,"26,832 Kms",1st Owner,Automatic,2016 Maruti Celerio,2016 Maruti Celerio,VXI AT,"4,86,326",Bangalore
1528,2018,Petrol,"21,565 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,1.0 RXT AMT,"4,56,500",Bangalore
1529,2017,Petrol,"21,163 Kms",1st Owner,Manual,2017 Hyundai Grand i10,2017 Hyundai Grand i10,Sportz,"5,50,000",Bangalore
1530,2015,Diesel,"42,361 Kms",1st Owner,Manual,2015 Honda Jazz,2015 Honda Jazz,1.5 VX i DTEC,"6,60,000",Bangalore
1531,2018,Petrol,"21,853 Kms",1st Owner,Manual,2019 Hyundai Santro,2019 Hyundai Santro,Asta BSIV,"5,00,000",Bangalore
1532,2018,Petrol,"20,965 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,AMT,"4,30,000",Bangalore
1533,2016,Petrol,"28,974 Kms",1st Owner,Manual,2016 Hyundai Grand i10,2016 Hyundai Grand i10,Sportz,"5,16,000",Bangalore
1534,2017,Petrol,"49,814 Kms",1st Owner,Manual,2017 Hyundai Grand i10,2017 Hyundai Grand i10,Sportz,"5,25,000",Bangalore
1535,2009,Petrol,"86,950 Kms",2nd Owner,Manual,2009 Maruti Swift Dzire,2009 Maruti Swift Dzire,VXi,"3,29,000",Bangalore
1536,2015,Petrol,"26,776 Kms",2nd Owner,Automatic,2015 Hyundai Grand i10,2015 Hyundai Grand i10,AT Asta,"5,15,500",Bangalore
1537,2013,Diesel,"107,408 Kms",1st Owner,Manual,2013 Maruti Swift,2013 Maruti Swift,VDI BSIV,"4,10,000",Bangalore
1538,2015,Diesel,"76,888 Kms",2nd Owner,Manual,2016 Nissan Terrano,2016 Nissan Terrano,XV 110 PS,"6,90,000",Bangalore
1539,2016,Petrol,"37,997 Kms",2nd Owner,Manual,2016 Maruti Swift,2016 Maruti Swift,VXI Optional,"5,71,000",Bangalore
1540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bangalore
1541,2018,Petrol,"12,297 Kms",1st Owner,Automatic,2018 Renault KWID,2018 Renault KWID,Climber 1.0 AMT BSIV,"4,78,000",Bangalore
1542,2015,Petrol,"17,042 Kms",1st Owner,Automatic,2015 Maruti Celerio,2015 Maruti Celerio,VXI AT,"4,40,000",Bangalore
1543,2016,Petrol,"26,884 Kms",2nd Owner,Automatic,2016 Maruti Celerio,2016 Maruti Celerio,VXI AMT BSIV,"4,53,500",Bangalore
1544,2014,Petrol,"30,607 Kms",1st Owner,Manual,2015 Hyundai Grand i10,2015 Hyundai Grand i10,Sportz,"4,78,500",Bangalore
