,myear,fuel,km,owner,transmission,brand,model,variant,price,city
5022,2018,Diesel,"20,000 kms",First Owner,Automatic,BMW 3 Series 320d Edition Sport,BMW 3 Series 320d Edition Sport,NaN,34.5 Lakh*,Chennai
5023,2014,Petrol,"87,623 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,3.8 Lakh*,Chennai
5024,2014,Petrol,"94,014 kms",Second Owner,Manual,Honda City i VTEC V,Honda City i VTEC V,NaN,5.4 Lakh*,Chennai
5025,2010,Petrol,"84,000 kms",First Owner,Manual,Honda Civic 1.8 V MT,Honda Civic 1.8 V MT,NaN,4.4 Lakh*,Chennai
5026,2005,Petrol,"1,07,000 kms",Second Owner,Manual,Toyota Corolla H2,Toyota Corolla H2,NaN,2.5 Lakh*,Chennai
5027,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,12.9 Lakh*,Chennai
5028,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,11.75 Lakh*,Chennai
5029,2017,Petrol,"30,000 kms",First Owner,Manual,Maruti Swift Dzire VXI,Maruti Swift Dzire VXI,NaN,6.45 Lakh*,Chennai
5030,2008,Diesel,"1,70,000 kms",First Owner,Manual,Toyota Innova 2.5 V Diesel 8-seater,Toyota Innova 2.5 V Diesel 8-seater,NaN,7.45 Lakh*,Chennai
5031,2013,Petrol,"27,650 kms",First Owner,Manual,Fiat Linea Emotion Pack,Fiat Linea Emotion Pack,NaN,3.25 Lakh*,Chennai
5032,2018,Diesel,"28,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend,Ford EcoSport 1.5 Diesel Trend,NaN,8.35 Lakh*,Chennai
5033,2015,Diesel,"88,289 kms",First Owner,Manual,Hyundai i20 Sportz 1.4 CRDi,Hyundai i20 Sportz 1.4 CRDi,NaN,5.8 Lakh*,Chennai
5034,2017,Petrol,"45,240 kms",First Owner,Manual,Maruti Swift LXI,Maruti Swift LXI,NaN,4.9 Lakh*,Chennai
5035,2018,Petrol,"3,600 kms",First Owner,Manual,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,NaN,7.75 Lakh*,Chennai
5036,2011,Diesel,"79,000 kms",First Owner,Manual,Hyundai Verna Transform SX VGT CRDi,Hyundai Verna Transform SX VGT CRDi,NaN,3.49 Lakh*,Chennai
5037,2008,Petrol,"26,450 kms",First Owner,Automatic,Honda Civic 1.8 V AT,Honda Civic 1.8 V AT,NaN,4.15 Lakh*,Chennai
5038,2012,Diesel,"78,900 kms",First Owner,Manual,Ford Fiesta 1.5 TDCi Titanium,Ford Fiesta 1.5 TDCi Titanium,NaN,3.6 Lakh*,Chennai
5039,2020,Diesel,"13,466 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend BSIV,Ford EcoSport 1.5 Diesel Trend BSIV,NaN,8.65 Lakh*,Chennai
5040,2020,Petrol,"6,944 kms",First Owner,Manual,Ford EcoSport Sports,Ford EcoSport Sports,NaN,12 Lakh*,Chennai
5041,2015,Diesel,"40,000 kms",Second Owner,Automatic,BMW 7 Series 730Ld,BMW 7 Series 730Ld,NaN,38 Lakh*,Chennai
5042,2018,Diesel,"20,000 kms",First Owner,Automatic,BMW 3 Series 320d Edition Sport,BMW 3 Series 320d Edition Sport,NaN,34.5 Lakh*,Chennai
5043,2014,Petrol,"87,623 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,3.8 Lakh*,Chennai
5044,2014,Petrol,"94,014 kms",Second Owner,Manual,Honda City i VTEC V,Honda City i VTEC V,NaN,5.4 Lakh*,Chennai
5045,2017,Petrol,"30,000 kms",First Owner,Manual,Maruti Swift Dzire VXI,Maruti Swift Dzire VXI,NaN,6.45 Lakh*,Chennai
5046,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,12.9 Lakh*,Chennai
5047,2010,Petrol,"84,000 kms",First Owner,Manual,Honda Civic 1.8 V MT,Honda Civic 1.8 V MT,NaN,4.4 Lakh*,Chennai
5048,2005,Petrol,"1,07,000 kms",Second Owner,Manual,Toyota Corolla H2,Toyota Corolla H2,NaN,2.5 Lakh*,Chennai
5049,2008,Diesel,"1,70,000 kms",First Owner,Manual,Toyota Innova 2.5 V Diesel 8-seater,Toyota Innova 2.5 V Diesel 8-seater,NaN,7.45 Lakh*,Chennai
5050,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,11.75 Lakh*,Chennai
5051,2018,Diesel,"28,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend,Ford EcoSport 1.5 Diesel Trend,NaN,8.35 Lakh*,Chennai
5052,2013,Petrol,"27,650 kms",First Owner,Manual,Fiat Linea Emotion Pack,Fiat Linea Emotion Pack,NaN,3.25 Lakh*,Chennai
5053,2015,Diesel,"88,289 kms",First Owner,Manual,Hyundai i20 Sportz 1.4 CRDi,Hyundai i20 Sportz 1.4 CRDi,NaN,5.8 Lakh*,Chennai
5054,2017,Petrol,"45,240 kms",First Owner,Manual,Maruti Swift LXI,Maruti Swift LXI,NaN,4.9 Lakh*,Chennai
5055,2018,Petrol,"3,600 kms",First Owner,Manual,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,NaN,7.75 Lakh*,Chennai
5056,2011,Diesel,"79,000 kms",First Owner,Manual,Hyundai Verna Transform SX VGT CRDi,Hyundai Verna Transform SX VGT CRDi,NaN,3.49 Lakh*,Chennai
5057,2008,Petrol,"26,450 kms",First Owner,Automatic,Honda Civic 1.8 V AT,Honda Civic 1.8 V AT,NaN,4.15 Lakh*,Chennai
5058,2012,Diesel,"78,900 kms",First Owner,Manual,Ford Fiesta 1.5 TDCi Titanium,Ford Fiesta 1.5 TDCi Titanium,NaN,3.6 Lakh*,Chennai
5059,2020,Diesel,"13,466 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend BSIV,Ford EcoSport 1.5 Diesel Trend BSIV,NaN,8.65 Lakh*,Chennai
5060,2020,Petrol,"6,944 kms",First Owner,Manual,Ford EcoSport Sports,Ford EcoSport Sports,NaN,12 Lakh*,Chennai
5061,2015,Diesel,"40,000 kms",Second Owner,Automatic,BMW 7 Series 730Ld,BMW 7 Series 730Ld,NaN,38 Lakh*,Chennai
5062,2018,Diesel,"20,000 kms",First Owner,Automatic,BMW 3 Series 320d Edition Sport,BMW 3 Series 320d Edition Sport,NaN,34.5 Lakh*,Chennai
5063,2014,Petrol,"87,623 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai Grand i10 1.2 Kappa Sportz BSIV,NaN,3.8 Lakh*,Chennai
5064,2014,Petrol,"94,014 kms",Second Owner,Manual,Honda City i VTEC V,Honda City i VTEC V,NaN,5.4 Lakh*,Chennai
5065,2017,Petrol,"30,000 kms",First Owner,Manual,Maruti Swift Dzire VXI,Maruti Swift Dzire VXI,NaN,6.45 Lakh*,Chennai
5066,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,12.9 Lakh*,Chennai
5067,2010,Petrol,"84,000 kms",First Owner,Manual,Honda Civic 1.8 V MT,Honda Civic 1.8 V MT,NaN,4.4 Lakh*,Chennai
5068,2005,Petrol,"1,07,000 kms",Second Owner,Manual,Toyota Corolla H2,Toyota Corolla H2,NaN,2.5 Lakh*,Chennai
5069,2008,Diesel,"1,70,000 kms",First Owner,Manual,Toyota Innova 2.5 V Diesel 8-seater,Toyota Innova 2.5 V Diesel 8-seater,NaN,7.45 Lakh*,Chennai
5070,2019,Diesel,"35,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX Option,Hyundai Verna CRDi 1.6 SX Option,NaN,11.75 Lakh*,Chennai
5071,2018,Diesel,"28,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend,Ford EcoSport 1.5 Diesel Trend,NaN,8.35 Lakh*,Chennai
5072,2013,Petrol,"27,650 kms",First Owner,Manual,Fiat Linea Emotion Pack,Fiat Linea Emotion Pack,NaN,3.25 Lakh*,Chennai
5073,2015,Diesel,"88,289 kms",First Owner,Manual,Hyundai i20 Sportz 1.4 CRDi,Hyundai i20 Sportz 1.4 CRDi,NaN,5.8 Lakh*,Chennai
5074,2017,Petrol,"45,240 kms",First Owner,Manual,Maruti Swift LXI,Maruti Swift LXI,NaN,4.9 Lakh*,Chennai
5075,2018,Petrol,"3,600 kms",First Owner,Manual,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,NaN,7.75 Lakh*,Chennai
5076,2011,Diesel,"79,000 kms",First Owner,Manual,Hyundai Verna Transform SX VGT CRDi,Hyundai Verna Transform SX VGT CRDi,NaN,3.49 Lakh*,Chennai
5077,2008,Petrol,"26,450 kms",First Owner,Automatic,Honda Civic 1.8 V AT,Honda Civic 1.8 V AT,NaN,4.15 Lakh*,Chennai
5078,2012,Diesel,"78,900 kms",First Owner,Manual,Ford Fiesta 1.5 TDCi Titanium,Ford Fiesta 1.5 TDCi Titanium,NaN,3.6 Lakh*,Chennai
5079,2020,Diesel,"13,466 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Trend BSIV,Ford EcoSport 1.5 Diesel Trend BSIV,NaN,8.65 Lakh*,Chennai
5080,2020,Petrol,"6,944 kms",First Owner,Manual,Ford EcoSport Sports,Ford EcoSport Sports,NaN,12 Lakh*,Chennai
5081,2020,Petrol,"6,944 kms",First Owner,Manual,Ford EcoSport Sports,Ford EcoSport Sports,NaN,12 Lakh*,Chennai
5082,2016,Diesel,"64,112 kms",First Owner,Manual,Hyundai i20 1.4 CRDi Asta,Hyundai i20 1.4 CRDi Asta,NaN,6.3 Lakh*,Chennai
5083,2015,Diesel,"1,06,346 kms",First Owner,Manual,Maruti Swift Dzire Tour 2012-2018 LDI,Maruti Swift Dzire Tour 2012-2018 LDI,NaN,5.6 Lakh*,Chennai
5084,2016,Petrol,"35,733 kms",First Owner,Manual,Honda Jazz 1.2 VX i VTEC,Honda Jazz 1.2 VX i VTEC,NaN,6.2 Lakh*,Chennai
5085,2017,Petrol,"45,000 kms",First Owner,Manual,Honda WR-V i-VTEC VX,Honda WR-V i-VTEC VX,NaN,7.95 Lakh*,Chennai
5086,2012,Diesel,"1,20,000 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,3.75 Lakh*,Chennai
5087,2018,Petrol,"28,472 kms",First Owner,Manual,Maruti Swift VXI 2018,Maruti Swift VXI 2018,NaN,5.9 Lakh*,Chennai
5088,2014,Petrol,"40,169 kms",First Owner,Automatic,Hyundai Grand i10 AT Sportz,Hyundai Grand i10 AT Sportz,NaN,4.5 Lakh*,Chennai
5089,2012,Diesel,"1,20,000 kms",First Owner,Manual,Mahindra Scorpio 2009-2014 VLX 4WD 7S BSIV,Mahindra Scorpio 2009-2014 VLX 4WD 7S BSIV,NaN,6.25 Lakh*,Chennai
5090,2017,Petrol,"66,915 kms",First Owner,Manual,Honda Amaze 2016-2021 S Petrol,Honda Amaze 2016-2021 S Petrol,NaN,5.35 Lakh*,Chennai
5091,2016,Diesel,"88,520 kms",First Owner,Manual,Mahindra TUV 300 T8,Mahindra TUV 300 T8,NaN,6.1 Lakh*,Chennai
5092,2013,Petrol,"98,965 kms",First Owner,Manual,Maruti Wagon R VXI,Maruti Wagon R VXI,NaN,2.6 Lakh*,Chennai
5093,2019,Petrol,"13,000 kms",First Owner,Automatic,Hyundai Venue SX Plus Dual Tone Turbo DCT,Hyundai Venue SX Plus Dual Tone Turbo DCT,NaN,11.7 Lakh*,Chennai
5094,2017,Diesel,"64,705 kms",First Owner,Manual,Maruti Ertiga VDI,Maruti Ertiga VDI,NaN,8.1 Lakh*,Chennai
5095,2011,Petrol,"38,000 kms",First Owner,Automatic,Hyundai i10 Sportz AT,Hyundai i10 Sportz AT,NaN,3.5 Lakh*,Chennai
5096,2017,Petrol,"29,000 kms",First Owner,Manual,Maruti Swift Dzire VXI Optional,Maruti Swift Dzire VXI Optional,NaN,6.5 Lakh*,Chennai
5097,2012,Diesel,"60,000 kms",First Owner,Manual,Nissan Sunny Diesel XL,Nissan Sunny Diesel XL,NaN,4.75 Lakh*,Chennai
5098,2019,Petrol,"11,600 kms",First Owner,Manual,Maruti Baleno Alpha 1.2,Maruti Baleno Alpha 1.2,NaN,7.85 Lakh*,Chennai
5099,2015,Petrol,"54,000 kms",First Owner,Manual,Skoda Rapid 1.6 MPI Ambition Plus,Skoda Rapid 1.6 MPI Ambition Plus,NaN,5.5 Lakh*,Chennai
5100,2016,Petrol,"35,000 kms",First Owner,Automatic,Honda Jazz 1.2 V AT i VTEC,Honda Jazz 1.2 V AT i VTEC,NaN,6.9 Lakh*,Chennai
5101,2013,Petrol,"21,000 kms",First Owner,Manual,Maruti Alto K10 LXI,Maruti Alto K10 LXI,NaN,2.7 Lakh*,Chennai
5102,2018,Diesel,"60,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX,Hyundai Verna CRDi 1.6 SX,NaN,9.25 Lakh*,Chennai
5103,2009,Petrol,"54,000 kms",First Owner,Manual,Maruti Swift Dzire VXi,Maruti Swift Dzire VXi,NaN,3.45 Lakh*,Chennai
5104,2011,Petrol,"52,500 kms",First Owner,Manual,Hyundai i10 Era,Hyundai i10 Era,NaN,2.85 Lakh*,Chennai
5105,2011,Petrol,"47,000 kms",Second Owner,Manual,Hyundai i20 1.2 Asta,Hyundai i20 1.2 Asta,NaN,3.7 Lakh*,Chennai
5106,2018,Petrol,"25,000 kms",First Owner,Manual,Renault KWID 1.0 RXL,Renault KWID 1.0 RXL,NaN,3.7 Lakh*,Chennai
5107,2013,Petrol,"54,000 kms",First Owner,Manual,Hyundai EON Sportz,Hyundai EON Sportz,NaN,2.75 Lakh*,Chennai
5108,2016,Petrol,"32,000 kms",First Owner,Manual,Volkswagen Ameo 1.0 MPI Comfortline,Volkswagen Ameo 1.0 MPI Comfortline,NaN,5.5 Lakh*,Chennai
5109,2010,Diesel,"1,44,000 kms",First Owner,Manual,Toyota Innova 2.5 V Diesel 7-seater,Toyota Innova 2.5 V Diesel 7-seater,NaN,9.25 Lakh*,Chennai
5110,2015,Petrol,"66,000 kms",First Owner,Manual,Hyundai Verna 1.6 VTVT S Option,Hyundai Verna 1.6 VTVT S Option,NaN,6.7 Lakh*,Chennai
5111,2011,Diesel,"73,000 kms",First Owner,Manual,Ford Figo Diesel ZXI,Ford Figo Diesel ZXI,NaN,2.95 Lakh*,Chennai
5112,2017,Diesel,"34,000 kms",First Owner,Automatic,Mercedes-Benz B-Class B200 CDI,Mercedes-Benz B-Class B200 CDI,NaN,20.25 Lakh*,Chennai
5113,2018,Diesel,"78,000 kms",First Owner,Automatic,Jaguar XF 2.0 Diesel Portfolio,Jaguar XF 2.0 Diesel Portfolio,NaN,36 Lakh*,Chennai
5114,2013,Diesel,"1,20,000 kms",First Owner,Automatic,Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz M-Class ML 350 CDI,NaN,24 Lakh*,Chennai
5115,2015,Diesel,"42,000 kms",First Owner,Manual,Mahindra XUV500 W10 2WD,Mahindra XUV500 W10 2WD,NaN,11.5 Lakh*,Chennai
5116,2012,Diesel,"98,000 kms",First Owner,Manual,Ford Figo Diesel Titanium,Ford Figo Diesel Titanium,NaN,2.75 Lakh*,Chennai
5117,2017,Diesel,"46,000 kms",First Owner,Automatic,Volvo S60 2015-2020 D4 KINETIC,Volvo S60 2015-2020 D4 KINETIC,NaN,17.25 Lakh*,Chennai
5118,2016,Petrol,"27,000 kms",First Owner,Manual,Hyundai i20 Magna 1.2,Hyundai i20 Magna 1.2,NaN,5.9 Lakh*,Chennai
5119,2016,Petrol,"1,92,222 kms",First Owner,Automatic,Volkswagen Vento Petrol Highline AT,Volkswagen Vento Petrol Highline AT,NaN,5.8 Lakh*,Chennai
5120,2018,Diesel,"23,000 kms",First Owner,Manual,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,NaN,9.25 Lakh*,Chennai
5121,2017,Petrol,"30,000 kms",First Owner,Automatic,Hyundai Creta 1.6 SX Automatic,Hyundai Creta 1.6 SX Automatic,NaN,10.9 Lakh*,Chennai
5122,2010,Diesel,"1,75,000 kms",Third Owner,Manual,Hyundai Santa Fe 4X2,Hyundai Santa Fe 4X2,NaN,6 Lakh*,Chennai
5123,2017,Petrol,"55,001 kms",First Owner,Manual,Maruti Baleno Zeta,Maruti Baleno Zeta,NaN,6.5 Lakh*,Chennai
5124,2012,Petrol,"52,974 kms",First Owner,Manual,Hyundai EON Era,Hyundai EON Era,NaN,2.45 Lakh*,Chennai
5125,2020,Diesel,"4,493 kms",First Owner,Manual,Honda Amaze 2016-2021 VX Diesel,Honda Amaze 2016-2021 VX Diesel,NaN,11.23 Lakh*,Chennai
5126,2019,Petrol,"28,541 kms",First Owner,Manual,Renault KWID Climber 1.0 MT,Renault KWID Climber 1.0 MT,NaN,4.5 Lakh*,Chennai
5127,2011,Petrol,"54,000 kms",First Owner,Manual,Maruti Zen Estilo VXI BSIII,Maruti Zen Estilo VXI BSIII,NaN,2.25 Lakh*,Chennai
5128,2013,Petrol,"60,000 kms",First Owner,Manual,Maruti Alto K10 LXI,Maruti Alto K10 LXI,NaN,2.75 Lakh*,Chennai
5129,2013,Petrol,"1,02,616 kms",First Owner,Manual,Maruti Ritz VXI,Maruti Ritz VXI,NaN,2.7 Lakh*,Chennai
5130,2018,Petrol,"21,623 kms",First Owner,Manual,Hyundai i20 Asta 1.2,Hyundai i20 Asta 1.2,NaN,7.5 Lakh*,Chennai
5131,2018,Petrol,"28,000 kms",First Owner,Manual,Hyundai i20 1.2 Era,Hyundai i20 1.2 Era,NaN,5.5 Lakh*,Chennai
5132,2015,Diesel,"1,24,950 kms",First Owner,Manual,Volkswagen Polo 1.5 TDI Highline,Volkswagen Polo 1.5 TDI Highline,NaN,3.9 Lakh*,Chennai
5133,2019,Petrol,"15,000 kms",First Owner,Manual,Renault KWID RXL BSIV,Renault KWID RXL BSIV,NaN,4.2 Lakh*,Chennai
5134,2014,Petrol,"27,000 kms",First Owner,Manual,Maruti Celerio VXI,Maruti Celerio VXI,NaN,3.75 Lakh*,Chennai
5135,2013,Diesel,"1,30,000 kms",First Owner,Manual,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota Innova 2.5 VX (Diesel) 7 Seater,NaN,11.75 Lakh*,Chennai
5136,2015,Petrol,"13,000 kms",First Owner,Manual,Chevrolet Beat PS,Chevrolet Beat PS,NaN,2.95 Lakh*,Chennai
5137,2011,Diesel,"1,15,000 kms",Second Owner,Automatic,Volvo S 80 D3 Summum,Volvo S 80 D3 Summum,NaN,13 Lakh*,Chennai
5138,2012,Diesel,"1,00,500 kms",Second Owner,Automatic,Mahindra Ssangyong Rexton RX7,Mahindra Ssangyong Rexton RX7,NaN,7.5 Lakh*,Chennai
5139,2014,Diesel,"1,02,200 kms",Second Owner,Manual,Maruti Ciaz VDi Plus,Maruti Ciaz VDi Plus,NaN,5.75 Lakh*,Chennai
5140,2012,Petrol,"71,561 kms",First Owner,Manual,Hyundai Grand i10 1.2 Kappa Asta,Hyundai Grand i10 1.2 Kappa Asta,NaN,3.4 Lakh*,Chennai
5141,2014,Petrol,"45,000 kms",First Owner,Automatic,Hyundai Grand i10 AT Sportz,Hyundai Grand i10 AT Sportz,NaN,4.5 Lakh*,Chennai
5142,2006,Petrol,"81,000 kms",Second Owner,Automatic,Honda Civic 1.8 S AT,Honda Civic 1.8 S AT,NaN,3.6 Lakh*,Chennai
5143,2011,Diesel,"1,06,204 kms",Second Owner,Manual,Mahindra Xylo E8 BS IV,Mahindra Xylo E8 BS IV,NaN,4.2 Lakh*,Chennai
5144,2018,Diesel,"57,000 kms",First Owner,Manual,Hyundai Verna CRDi 1.6 SX,Hyundai Verna CRDi 1.6 SX,NaN,9.4 Lakh*,Chennai
5145,2019,Petrol,"15,500 kms",First Owner,Automatic,Hyundai i20 Asta Option CVT,Hyundai i20 Asta Option CVT,NaN,8.95 Lakh*,Chennai
5146,2016,Diesel,"42,000 kms",First Owner,Manual,Volkswagen Vento 1.5 TDI Highline,Volkswagen Vento 1.5 TDI Highline,NaN,7.65 Lakh*,Chennai
5147,2012,Petrol,"36,500 kms",First Owner,Automatic,Hyundai i10 Sportz AT,Hyundai i10 Sportz AT,NaN,3.98 Lakh*,Chennai
5148,2014,Diesel,"69,000 kms",Second Owner,Automatic,Audi Q3 2.0 TDI Quattro Premium Plus,Audi Q3 2.0 TDI Quattro Premium Plus,NaN,15.75 Lakh*,Chennai
5149,2017,Petrol,"47,530 kms",First Owner,Automatic,Maruti Celerio VXi AMT,Maruti Celerio VXi AMT,NaN,4.45 Lakh*,Chennai
5150,2020,Diesel,"2,282 kms",First Owner,Manual,Ford Figo Titanium Diesel,Ford Figo Titanium Diesel,NaN,7.41 Lakh*,Chennai
5151,2020,Diesel,"11,834 kms",First Owner,Manual,Ford EcoSport Sports Diesel,Ford EcoSport Sports Diesel,NaN,12.75 Lakh*,Chennai
5152,2016,Petrol,"42,856 kms",First Owner,Automatic,Hyundai Grand i10 AT Asta,Hyundai Grand i10 AT Asta,NaN,5.2 Lakh*,Chennai
5153,2017,Petrol,"44,717 kms",Second Owner,Manual,Maruti Alto 800 LXI,Maruti Alto 800 LXI,NaN,3 Lakh*,Chennai
5154,2011,Diesel,"72,193 kms",First Owner,Manual,Ford Fiesta 1.4 Duratorq EXI,Ford Fiesta 1.4 Duratorq EXI,NaN,2.4 Lakh*,Chennai
5155,2016,Petrol,"41,383 kms",First Owner,Manual,Maruti Baleno Sigma,Maruti Baleno Sigma,NaN,5.25 Lakh*,Chennai
5156,2018,Petrol,"37,000 kms",First Owner,Automatic,Ford EcoSport 1.5 Petrol Titanium Plus AT,Ford EcoSport 1.5 Petrol Titanium Plus AT,NaN,8.75 Lakh*,Chennai
5157,2019,Petrol,"27,000 kms",First Owner,Automatic,Honda Amaze 2016-2021 V CVT Petrol BSIV,Honda Amaze 2016-2021 V CVT Petrol BSIV,NaN,7.75 Lakh*,Chennai
5158,2018,Diesel,"45,000 kms",First Owner,Manual,Ford EcoSport 1.5 Diesel Titanium,Ford EcoSport 1.5 Diesel Titanium,NaN,9.2 Lakh*,Chennai
5159,2020,Petrol,"2,000 kms",Test Drive Car,Manual,Renault Duster RXZ Turbo,Renault Duster RXZ Turbo,NaN,12.23 Lakh*,Chennai
5160,2009,Petrol,"52,922 kms",First Owner,Manual,Maruti Alto LXi BSIII,Maruti Alto LXi BSIII,NaN,1.7 Lakh*,Chennai
5161,2010,Petrol,"53,665 kms",First Owner,Manual,Maruti A Star Lxi,Maruti A Star Lxi,NaN,2.3 Lakh*,Chennai
5162,2013,Petrol,"55,569 kms",First Owner,Manual,Honda Brio V MT,Honda Brio V MT,NaN,3.9 Lakh*,Chennai
5163,2014,Diesel,"1,02,261 kms",First Owner,Manual,Ford EcoSport 1.5 TDCi Trend BSIV,Ford EcoSport 1.5 TDCi Trend BSIV,NaN,5.1 Lakh*,Chennai
5164,2018,Petrol,"19,000 kms",First Owner,Manual,Maruti Swift Dzire VXI 1.2,Maruti Swift Dzire VXI 1.2,NaN,6.6 Lakh*,Chennai
5165,2012,Petrol,"35,000 kms",First Owner,Manual,Hyundai Verna 1.6 SX VTVT,Hyundai Verna 1.6 SX VTVT,NaN,4.9 Lakh*,Chennai
5166,2017,Petrol,"15,000 kms",First Owner,Automatic,Hyundai Grand i10 Magna AT,Hyundai Grand i10 Magna AT,NaN,5.5 Lakh*,Chennai
5167,2017,Diesel,"25,000 kms",First Owner,Manual,Renault Duster 110PS Diesel RxZ AWD,Renault Duster 110PS Diesel RxZ AWD,NaN,9.85 Lakh*,Chennai
5168,2016,Petrol,"43,000 kms",First Owner,Manual,Honda City i VTEC V,Honda City i VTEC V,NaN,7.25 Lakh*,Chennai
5169,2016,Petrol,"45,000 kms",First Owner,Manual,Maruti Alto K10 VXI,Maruti Alto K10 VXI,NaN,3.35 Lakh*,Chennai
5170,2009,Petrol,"48,000 kms",First Owner,Manual,Hyundai i20 Asta,Hyundai i20 Asta,NaN,3.25 Lakh*,Chennai
5171,2020,Petrol,"4,500 kms",First Owner,Manual,Maruti S-Presso VXI Opt,Maruti S-Presso VXI Opt,NaN,4.5 Lakh*,Chennai
5172,2013,Petrol,"58,000 kms",First Owner,Manual,Toyota Etios G,Toyota Etios G,NaN,4.8 Lakh*,Chennai
5173,2008,Petrol,"52,000 kms",First Owner,Automatic,Hyundai i10 Sportz AT,Hyundai i10 Sportz AT,NaN,2.75 Lakh*,Chennai
5174,2013,Diesel,"80,000 kms",First Owner,Manual,Volkswagen Vento 1.5 TDI Comfortline,Volkswagen Vento 1.5 TDI Comfortline,NaN,4.7 Lakh*,Chennai
5175,2013,Petrol,"65,000 kms",First Owner,Manual,Hyundai i10 Magna,Hyundai i10 Magna,NaN,3.45 Lakh*,Chennai
5176,2011,Diesel,"65,000 kms",Second Owner,Manual,Ford Figo Diesel ZXI,Ford Figo Diesel ZXI,NaN,2.5 Lakh*,Chennai
5177,2011,Diesel,"57,000 kms",First Owner,Manual,Maruti SX4 VDI,Maruti SX4 VDI,NaN,3.9 Lakh*,Chennai
5178,2016,Diesel,"1,41,089 kms",First Owner,Manual,Maruti Ritz LDi,Maruti Ritz LDi,NaN,2.6 Lakh*,Chennai
5179,2017,Diesel,"50,552 kms",First Owner,Manual,Honda WR-V i-DTEC S,Honda WR-V i-DTEC S,NaN,7.5 Lakh*,Chennai
5180,2016,Petrol,"11,000 kms",First Owner,Manual,Hyundai Grand i10 Magna,Hyundai Grand i10 Magna,NaN,4.8 Lakh*,Chennai
5181,2018,Diesel,"34,000 kms",First Owner,Automatic,Audi Q5 35TDI Technology,Audi Q5 35TDI Technology,NaN,48.6 Lakh*,Chennai
5182,2014,Diesel,"95,000 kms",First Owner,Automatic,Porsche Cayenne Diesel,Porsche Cayenne Diesel,NaN,45 Lakh*,Chennai
5183,2016,Diesel,"25,000 kms",Second Owner,Automatic,Mercedes-Benz GLE Class 350d,Mercedes-Benz GLE Class 350d,NaN,41 Lakh*,Chennai
5184,2011,Diesel,"3,00,000 kms",First Owner,Manual,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota Innova 2.5 G (Diesel) 8 Seater,NaN,6.6 Lakh*,Chennai
5185,2017,Diesel,"24,000 kms",First Owner,Manual,Renault Duster 110PS Diesel RxZ AWD,Renault Duster 110PS Diesel RxZ AWD,NaN,9.45 Lakh*,Chennai
5186,2015,Diesel,"45,000 kms",First Owner,Automatic,Toyota Fortuner 4x4 AT,Toyota Fortuner 4x4 AT,NaN,21.75 Lakh*,Chennai
5187,2017,Diesel,"30,000 kms",Second Owner,Automatic,BMW X1 sDrive 20d xLine,BMW X1 sDrive 20d xLine,NaN,23 Lakh*,Chennai
5188,2018,Petrol,"17,000 kms",First Owner,Manual,Honda Amaze 2016-2021 S Petrol,Honda Amaze 2016-2021 S Petrol,NaN,6.95 Lakh*,Chennai
